mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:c0:d6,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
44:85:00:c5:6a:de,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
44:85:00:c5:6b:10,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
e4:b3:18:9f:bf:f5,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
44:85:00:c5:6a:fc,1.49607E+15,58,0,0,0,0,785,0,0,SUCCESS,5.29E+11
44:85:00:c5:69:da,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
44:85:00:c5:6b:74,1.49607E+15,70,0,0,0,0,554,0,0,SUCCESS,5.29E+11
44:85:00:c5:6b:83,1.49607E+15,75,0,0,0,0,1314,0,0,SUCCESS,5.29E+11
e4:b3:18:c3:63:15,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
e4:b3:18:9f:bf:a5,1.49607E+15,72,0,0,0,0,2484,0,0,SUCCESS,5.29E+11
e4:b3:18:9f:c1:8a,1.49607E+15,82,0,0,0,0,3070,0,0,SUCCESS,5.29E+11
e4:b3:18:9f:bf:91,1.49607E+15,80,0,0,0,0,2995,0,0,SUCCESS,5.29E+11
44:85:00:c5:6b:6f,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
e4:b3:18:9f:c1:53,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
44:85:00:c5:6b:7e,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
44:85:00:c5:6a:e8,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
e4:b3:18:9f:c0:d6,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
44:85:00:c5:6a:de,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
44:85:00:c5:6b:10,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
e4:b3:18:9f:bf:f5,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
44:85:00:c5:6a:fc,1.49607E+15,67,0,0,0,0,972,0,0,SUCCESS,5.29E+11
44:85:00:c5:69:da,1.49607E+15,0,0,0,0,0,0,0,0,FAILURE,5.29E+11
